model_name,layer_idx,entity_score_family_balanced,n_entity_families
Qwen/Qwen2.5-3B,0,0.0,8
Qwen/Qwen2.5-3B,2,0.0,8
Qwen/Qwen2.5-3B,4,0.0,8
Qwen/Qwen2.5-3B,6,0.0,8
Qwen/Qwen2.5-3B,8,0.0,8
Qwen/Qwen2.5-3B,10,0.0,8
Qwen/Qwen2.5-3B,12,0.0,8
Qwen/Qwen2.5-3B,14,0.0,8
Qwen/Qwen2.5-3B,16,0.0,8
Qwen/Qwen2.5-3B,18,0.0,8
Qwen/Qwen2.5-3B,20,0.0,8
Qwen/Qwen2.5-3B,22,0.0,8
Qwen/Qwen2.5-3B,24,0.0,8
Qwen/Qwen2.5-3B,26,0.0,8
Qwen/Qwen2.5-3B,28,0.14583333333333331,8
Qwen/Qwen2.5-3B,30,0.14583333333333331,8
Qwen/Qwen2.5-3B,32,0.8484375,8
Qwen/Qwen2.5-3B,34,0.9401041666666667,8
meta-llama/Llama-3.2-3B,0,0.0,8
meta-llama/Llama-3.2-3B,2,0.0,8
meta-llama/Llama-3.2-3B,4,0.0,8
meta-llama/Llama-3.2-3B,6,0.0,8
meta-llama/Llama-3.2-3B,8,0.0,8
meta-llama/Llama-3.2-3B,10,0.0,8
meta-llama/Llama-3.2-3B,12,0.0,8
meta-llama/Llama-3.2-3B,14,0.041666666666666664,8
meta-llama/Llama-3.2-3B,16,0.24427083333333333,8
meta-llama/Llama-3.2-3B,18,0.5939102564102564,8
meta-llama/Llama-3.2-3B,20,0.8974358974358975,8
meta-llama/Llama-3.2-3B,22,0.9669471153846154,8
meta-llama/Llama-3.2-3B,24,0.946113782051282,8
meta-llama/Llama-3.2-3B,26,0.96875,8
meta-llama/Meta-Llama-3-8B,0,0.0,8
meta-llama/Meta-Llama-3-8B,2,0.0,8
meta-llama/Meta-Llama-3-8B,4,0.0,8
meta-llama/Meta-Llama-3-8B,6,0.0,8
meta-llama/Meta-Llama-3-8B,8,0.0,8
meta-llama/Meta-Llama-3-8B,10,0.0,8
meta-llama/Meta-Llama-3-8B,12,0.0,8
meta-llama/Meta-Llama-3-8B,14,0.0,8
meta-llama/Meta-Llama-3-8B,16,0.15104166666666666,8
meta-llama/Meta-Llama-3-8B,18,0.23177083333333331,8
meta-llama/Meta-Llama-3-8B,20,0.5272435897435898,8
meta-llama/Meta-Llama-3-8B,22,0.9125,8
meta-llama/Meta-Llama-3-8B,24,0.9479166666666667,8
meta-llama/Meta-Llama-3-8B,26,0.96875,8
meta-llama/Meta-Llama-3-8B,28,0.96875,8
meta-llama/Meta-Llama-3-8B,30,0.9479166666666667,8
microsoft/phi-2,0,0.0,8
microsoft/phi-2,2,0.0,8
microsoft/phi-2,4,0.0,8
microsoft/phi-2,6,0.0,8
microsoft/phi-2,8,0.0,8
microsoft/phi-2,10,0.0,8
microsoft/phi-2,12,0.0,8
microsoft/phi-2,14,0.0,8
microsoft/phi-2,16,0.0,8
microsoft/phi-2,18,0.0,8
microsoft/phi-2,20,0.05208333333333333,8
microsoft/phi-2,22,0.24919871794871795,8
microsoft/phi-2,24,0.702724358974359,8
microsoft/phi-2,26,0.8453525641025641,8
microsoft/phi-2,28,0.9479166666666667,8
microsoft/phi-2,30,0.96875,8
