model_name,record_idx,family,layer_idx,final_label,entity_transfer,overwrite,failure,switch_strength
meta-llama/Llama-3.2-3B,1,capital,0,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,2,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,4,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,6,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,8,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,10,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,12,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,14,failure,0,0,1,-2
meta-llama/Llama-3.2-3B,1,capital,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,2,capital,0,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,2,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,4,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,6,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,8,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,10,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,12,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,14,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,capital,16,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,2,capital,18,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,2,capital,20,overwrite,0,1,0,0
meta-llama/Llama-3.2-3B,2,capital,22,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,2,capital,24,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,2,capital,26,entity_transfer,1,0,0,2
meta-llama/Llama-3.2-3B,3,capital,0,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,2,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,4,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,6,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,8,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,10,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,12,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,14,failure,0,0,1,-5
meta-llama/Llama-3.2-3B,3,capital,16,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,3,capital,18,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,3,capital,20,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,3,capital,22,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,3,capital,24,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,3,capital,26,entity_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,4,capital,0,failure,0,0,1,-5
