model_name,threshold,relation_onset_pair_balanced,entity_onset_family_balanced,gap_entity_minus_relation,relation_before_entity
Qwen/Qwen2.5-3B,0.2,12,32,20,True
Qwen/Qwen2.5-3B,0.3,14,32,18,True
Qwen/Qwen2.5-3B,0.4,16,32,16,True
Qwen/Qwen2.5-3B,0.5,22,32,10,True
meta-llama/Llama-3.2-3B,0.2,6,16,10,True
meta-llama/Llama-3.2-3B,0.3,6,18,12,True
meta-llama/Llama-3.2-3B,0.4,6,18,12,True
meta-llama/Llama-3.2-3B,0.5,14,18,4,True
meta-llama/Meta-Llama-3-8B,0.2,4,18,14,True
meta-llama/Meta-Llama-3-8B,0.3,6,20,14,True
meta-llama/Meta-Llama-3-8B,0.4,10,20,10,True
meta-llama/Meta-Llama-3-8B,0.5,14,20,6,True
microsoft/phi-2,0.2,8,22,14,True
microsoft/phi-2,0.3,12,24,12,True
microsoft/phi-2,0.4,14,24,10,True
microsoft/phi-2,0.5,18,24,6,True
