model_name,record_id,family,entity_a,entity_b,layer_idx,zone,answer_b,last_token_hit,last_token_pred,subj_token_hit,subj_token_pred,subj_avg_hit,subj_avg_pred,subj_pos_a,subj_pos_b
meta-llama/Llama-3.2-3B,1,capital,France,Germany,0,early,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,2,early,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,4,early,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,6,early,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,8,early,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,10,mid,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,12,mid,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,14,mid,berlin,0,paris,1,berlin,1,berlin,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,16,mid,berlin,1,berlin,0,paris,0,paris,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,18,late,berlin,1,berlin,0,paris,0,paris,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,20,late,berlin,1,berlin,0,paris,0,paris,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,22,late,berlin,1,berlin,0,paris,0,paris,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,24,late,berlin,1,berlin,0,paris,0,paris,[4],[4]
meta-llama/Llama-3.2-3B,1,capital,France,Germany,26,late,berlin,1,berlin,0,paris,0,paris,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,0,early,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,2,early,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,4,early,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,6,early,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,8,early,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,10,mid,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,12,mid,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,14,mid,madrid,0,rome,1,madrid,1,madrid,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,16,mid,madrid,0,a city,0,rome,0,rome,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,18,late,madrid,0,a city,0,rome,0,rome,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,20,late,madrid,0,a city,0,rome,0,rome,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,22,late,madrid,1,madrid,0,rome,0,rome,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,24,late,madrid,1,madrid,0,rome,0,rome,[4],[4]
meta-llama/Llama-3.2-3B,2,capital,Italy,Spain,26,late,madrid,1,madrid,0,rome,0,rome,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,0,early,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,2,early,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,4,early,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,6,early,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,8,early,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,10,mid,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,12,mid,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,14,mid,tokyo,0,moscow,1,tokyo,1,tokyo,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,16,mid,tokyo,1,tokyo,0,a city,0,a city,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,18,late,tokyo,1,tokyo,0,moscow,0,moscow,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,20,late,tokyo,1,tokyo,0,moscow,0,moscow,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,22,late,tokyo,1,tokyo,0,moscow,0,moscow,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,24,late,tokyo,1,tokyo,0,moscow,0,moscow,[4],[4]
meta-llama/Llama-3.2-3B,3,capital,Russia,Japan,26,late,tokyo,1,tokyo,0,moscow,0,moscow,[4],[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,0,early,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,2,early,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,4,early,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,6,early,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,8,early,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,10,mid,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,12,mid,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,14,mid,athens,0,seoul,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,16,mid,athens,0,the largest,1,athens,1,athens,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,18,late,athens,1,athens,0,the largest,0,the largest,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,20,late,athens,1,athens,0,the largest,0,the largest,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,22,late,athens,1,athens,0,seoul,0,seoul,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,24,late,athens,1,athens,0,seoul,0,seoul,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,4,capital,South Korea,Greece,26,late,athens,1,athens,0,seoul,0,seoul,"[4, 5]",[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,0,early,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,2,early,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,4,early,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,6,early,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,8,early,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,10,mid,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,12,mid,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,14,mid,warsaw,0,ankara,1,warsaw,1,warsaw,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,16,mid,warsaw,0,a city,0,the largest,0,the largest,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,18,late,warsaw,0,a city,0,the largest,0,the largest,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,20,late,warsaw,0,a city,0,the largest,0,the largest,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,22,late,warsaw,1,warsaw,0,ankara,0,ankara,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,24,late,warsaw,1,warsaw,0,ankara,0,ankara,[4],[4]
meta-llama/Llama-3.2-3B,5,capital,Turkey,Poland,26,late,warsaw,1,warsaw,0,ankara,0,ankara,[4],[4]
meta-llama/Llama-3.2-3B,6,capital,Netherlands,Sweden,0,early,stockholm,0,amsterdam,1,stockholm,1,stockholm,[4],[4]
meta-llama/Llama-3.2-3B,6,capital,Netherlands,Sweden,2,early,stockholm,0,amsterdam,1,stockholm,1,stockholm,[4],[4]
