model_name,steer_type,zone,source_family,layer_idx,alpha,target_hit_pct,random_target_hit_pct,original_pct,random_original_pct,mixed_pct,random_mixed_pct,n
Qwen/Qwen2.5-3B,entity_late,late,capital,28,0.5,0.24242424242424243,0.0,0.030303030303030304,0.8484848484848485,0.7272727272727273,0.15151515151515152,33
Qwen/Qwen2.5-3B,entity_late,late,capital,28,1.0,0.0,0.0,0.0,0.12121212121212122,1.0,0.8787878787878788,33
Qwen/Qwen2.5-3B,entity_late,late,capital,28,1.5,0.0,0.0,0.0,0.030303030303030304,1.0,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,capital,28,2.0,0.0,0.0,0.0,0.030303030303030304,1.0,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,capital,28,3.0,0.0,0.0,0.0,0.06060606060606061,1.0,0.9393939393939394,33
Qwen/Qwen2.5-3B,entity_late,late,capital,30,0.5,0.18181818181818182,0.0,0.0,0.6666666666666666,0.8181818181818182,0.3333333333333333,33
Qwen/Qwen2.5-3B,entity_late,late,capital,30,1.0,0.06060606060606061,0.0,0.0,0.09090909090909091,0.9393939393939394,0.9090909090909091,33
Qwen/Qwen2.5-3B,entity_late,late,capital,30,1.5,0.030303030303030304,0.0,0.030303030303030304,0.0,0.9393939393939394,1.0,33
Qwen/Qwen2.5-3B,entity_late,late,capital,30,2.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.9696969696969697,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,capital,30,3.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.9696969696969697,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,capital,32,0.5,0.696969696969697,0.0,0.030303030303030304,0.48484848484848486,0.2727272727272727,0.5151515151515151,33
Qwen/Qwen2.5-3B,entity_late,late,capital,32,1.0,0.6060606060606061,0.0,0.0,0.24242424242424243,0.3939393939393939,0.7575757575757576,33
Qwen/Qwen2.5-3B,entity_late,late,capital,32,1.5,0.5757575757575758,0.0,0.0,0.2727272727272727,0.42424242424242425,0.7272727272727273,33
Qwen/Qwen2.5-3B,entity_late,late,capital,32,2.0,0.5454545454545454,0.0,0.0,0.24242424242424243,0.45454545454545453,0.7575757575757576,33
Qwen/Qwen2.5-3B,entity_late,late,capital,32,3.0,0.6363636363636364,0.0,0.0,0.06060606060606061,0.36363636363636365,0.9393939393939394,33
Qwen/Qwen2.5-3B,entity_late,late,capital,34,0.5,0.7575757575757576,0.0,0.0,0.48484848484848486,0.24242424242424243,0.5151515151515151,33
Qwen/Qwen2.5-3B,entity_late,late,capital,34,1.0,0.7575757575757576,0.0,0.0,0.2727272727272727,0.24242424242424243,0.7272727272727273,33
Qwen/Qwen2.5-3B,entity_late,late,capital,34,1.5,0.696969696969697,0.0,0.0,0.09090909090909091,0.30303030303030304,0.9090909090909091,33
Qwen/Qwen2.5-3B,entity_late,late,capital,34,2.0,0.7272727272727273,0.0,0.0,0.0,0.2727272727272727,1.0,33
Qwen/Qwen2.5-3B,entity_late,late,capital,34,3.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,33
Qwen/Qwen2.5-3B,entity_late,late,comparative,28,0.5,0.16666666666666666,0.0,0.08333333333333333,0.4166666666666667,0.75,0.5833333333333334,12
Qwen/Qwen2.5-3B,entity_late,late,comparative,28,1.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.8333333333333334,0.9166666666666666,12
Qwen/Qwen2.5-3B,entity_late,late,comparative,28,1.5,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,comparative,28,2.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,1.0,12
